"[ 8.10545281e-01  1.65411363e-01 -7.47241114e-01 -2.83702628e-01
  4.29403601e-01 -2.94859301e-01  7.75139111e-01 -3.65837679e-04
  2.71220742e-01]","[ 0.08956118  0.96169137  0.47191506 -0.62115079  0.11615687  0.98448469
  0.44266531 -0.32195453  0.31974292]","[-0.57553778  0.63002497  0.25679546  0.27828213 -0.13030374  0.75607322
  0.94435442  0.67512967  0.79936838]","[ 0.25082128  0.65257739 -0.55899438 -0.57288992 -0.39151263 -0.50083826
 -0.51674946  0.95641956  0.38956674]","[-0.91546405  0.06933808 -0.12098869  0.75021441 -0.71506071  0.19745975
  0.27503636 -0.00095392 -0.83079205]","[ 0.39380346  0.35312648  0.31280174  0.66330909 -0.32778401 -0.43396513
 -0.95360949  0.08050317 -0.78031523]"
"[-0.63488833  1.          0.4906494   0.88273449 -0.97907768 -0.54825594
  0.28543745  0.94706057  0.56544945]","[-0.84536636 -0.15318969  0.88130594  0.35557276  0.93875805  0.21373021
 -0.67397128  0.37263373 -0.21294573]","[ 0.89783917  0.45335017  0.13307558 -1.         -1.         -0.28653037
 -0.64222674 -0.53140775  0.19167112]","[ 0.03021354  0.20944394 -0.84894999  0.03381358 -0.16343673  0.51699694
 -0.87675037 -0.81796234 -0.46415094]","[-0.82833632  0.74839408  0.1998285  -0.10277103 -0.19423682 -0.11583118
 -0.13414015  0.18261205  0.89899666]","[-0.97282396 -0.57124689 -0.16179132 -0.94208595 -0.26456949 -0.75844326
 -0.29028144 -0.83399616  0.10003947]"
"[ 0.10875023 -0.54041792 -0.87375504 -0.48938175 -0.57073257  0.80675196
  0.74844668  0.55261019 -0.27409928]","[-0.41771659  0.20877584  0.07517613 -0.23582814 -0.94422297  0.44455013
  1.         -0.22920912 -0.53113979]","[-0.7665524   0.46609551 -0.39595043  0.47386122  0.15432169 -0.45343756
 -0.48234432 -0.15438892 -0.43111815]","[ 0.12714748  0.79925459 -0.68276068 -0.26960793 -0.33243392  1.
 -0.29728258 -0.46087588  0.09881235]","[-1.96473454e-01  8.08767799e-01 -3.54600653e-04  3.60322569e-01
 -7.09082478e-01  3.15988790e-01 -9.32957562e-01  4.02547317e-01
 -5.47997484e-01]","[ 0.69526924 -0.53292637  0.89244825  0.54351341 -0.13507786 -0.52842981
  0.86256341  0.77302828  0.47819043]"
"[ 0.01550037 -0.88646906 -0.50883419 -0.41097064 -0.63892673  0.56345856
 -0.86444808 -0.14319591  0.2274985 ]","[-0.0183607  -0.1277958   0.06633967 -0.04569512  0.90381203 -0.01910453
 -0.1538515   0.96277476 -0.46887485]","[ 0.27749787 -0.18532102  0.56349855 -0.99918952 -0.19989599 -0.80081422
 -0.48920184 -0.15318273  0.8410394 ]","[-0.4411216  -0.8149959   0.24081366  0.67376694  0.77105074  1.
 -0.28395676 -0.54928345  0.55130015]","[-0.82022715 -0.99872637 -0.91763418  0.82835164  0.85979882  0.03326945
  0.35749545 -0.64805622 -0.88606307]","[ 0.23045243 -0.26110268  0.9742469  -0.04299492  0.66598826  0.07620434
  0.55363968 -0.78903184  0.93210456]"
"[-0.4086838  -0.63106713  0.13551428  0.08955672 -0.12850227  0.18591304
  0.84554283  0.78224262 -0.32119752]","[ 0.80944455 -0.84645281  0.45568757  0.32467449 -0.22766116  0.45583044
  0.92887139 -0.9614324   0.89106669]","[-0.51586456  0.55388383  0.89007079 -0.73562181  0.5789605   0.09363956
 -0.70245768  0.06827378 -0.42343521]","[-0.19319133 -0.60293911 -0.77799592  0.93467503 -0.17508282 -0.17533669
  0.3215003   0.05022359 -0.73482579]","[-0.22960438  0.02317737  0.77903729  0.82694877  0.35270038  0.36133637
  1.          1.         -0.36327201]","[ 0.56228925  0.65533259  0.9230195   0.75967052  0.96623852 -0.02557556
 -0.03470218  0.29051939 -0.78061641]"
"[-0.7683346   0.79374175 -0.22187778 -0.22259772 -0.03770245  0.44794129
 -0.71251822  0.7840344   0.96694987]","[ 0.214567    0.80198832  0.59141781 -0.64878378  0.6056685   0.7028631
 -0.01157707 -0.28091592  0.92092691]","[-0.64533119  0.5346508  -0.38735724  0.80694343  0.71086896 -0.44723139
 -0.01783704 -0.41936344 -0.64780978]","[ 0.43301821 -0.22232182 -0.79915456  0.46741335 -0.55163692 -0.02118404
 -0.18836852  0.19828621 -0.61462576]","[ 0.41631247 -0.18493907 -0.81999174 -0.28444049  0.79043064 -0.68428882
 -0.64132783 -0.76038715 -0.67992737]","[-0.10059352 -0.43913743  0.73117002 -0.86693092  0.03997339  0.66967242
 -0.40997476 -0.33346842 -0.34860027]"
"[ 0.69209556  0.55314794  0.285261    0.47022544 -0.6310171   0.24139356
  0.71186325  0.21737196 -0.57789645]","[ 0.33667228 -0.09556476  0.64872586 -0.0165684  -0.42043393 -0.29324888
  0.10149777  0.0206477   0.73756896]","[ 0.3664411   0.35824943 -0.57144678  0.39392868  0.29690745  0.30631509
 -0.08303439 -0.86179575  0.46946655]","[-0.80068419  0.57423165  0.15239396  0.87144816  0.82773479  0.88780949
  0.82349608  0.56005888 -0.53251613]","[ 0.20092364  0.6588586  -0.92407253 -0.56377452  0.08784326 -0.30732738
  0.76056672  0.83229068  0.27776194]","[ 0.855419   -0.84731896  0.07334889 -0.85657514  0.23036231 -0.81198819
  0.15611355 -0.61981    -0.56818396]"
"[-0.82579758  0.22441706  0.53635289 -0.92124788  0.35129494  0.07437609
  0.46709478 -0.80927839 -0.4886149 ]","[ 0.25246963  0.31120888  0.78309551  0.86430729 -0.10285234 -0.4632167
 -0.26835005  0.72131586  0.30230768]","[-0.48897605 -0.72532873  0.29092485 -0.2114597   0.86502374  0.63732893
  0.68960474 -0.9683155  -0.24337202]","[-0.69903504  0.01488765 -0.48134723  0.69361178  0.30459688  0.57987647
  0.2263466  -0.69837601  0.52638789]","[ 0.74415394  0.59727009 -0.29220723 -0.23491759  0.30605331  0.83557325
 -0.92749748 -0.11024515 -0.00745967]","[ 0.65962653 -0.54332819 -0.38178326 -0.91822625  0.57847413 -0.67243405
 -0.61841159  0.31273384  0.2358136 ]"
"[-0.77188589  1.          0.31443194 -0.17402333 -0.31109041  0.95519756
  0.75792894  0.17462057  0.8663523 ]","[-0.32521032  0.43514052  0.76855374 -0.96434094 -0.23206227 -0.89203266
  0.78274012  0.62005851 -0.93062556]","[ 0.05781467  0.80436418  0.84269347  0.23938848  0.18142858 -0.56271781
 -0.69433218 -0.60322969  0.20874163]","[-0.13346535 -0.14810417  0.43452244 -0.12272355  0.91341017  0.34896797
  0.05473487  1.          0.52660796]","[ 0.09266384  0.49772585 -0.43103041  0.07539149 -0.37928519 -0.51081033
 -0.32188604  0.81855112  0.25960954]","[-0.02327935 -0.15435146 -0.15886437 -0.45788833 -0.16040902 -0.31873344
  0.19265095  0.26076747 -0.80568371]"
"[-0.98816177 -0.09574584 -0.12344265  0.17987018  0.00346742  0.79613671
  0.66505271 -0.81131706  0.28280165]","[-0.98856865  0.26946197  0.42607118  0.62761455  0.96670242  0.87300357
 -0.15622818  0.04446196 -0.92162213]","[ 0.02390784  0.85763779  0.31300822  0.86127806 -0.20127741 -0.46237828
 -0.37213486  0.54340184 -0.53273686]","[-0.03959013  0.19488464 -0.64106326  0.75740263  0.8455725  -0.96938541
 -0.73532459 -0.50179914  0.54061369]","[-0.03942979  0.10479324 -0.59073195  0.93084728 -0.19636674  0.72890632
 -0.10058815  0.37158115 -0.4330009 ]","[-0.2571142  -0.34467661  0.19826833 -0.05219792 -0.16181122 -0.20211837
  0.70658903  0.34943455 -0.48639405]"
