"[ 0.24489829  0.6715738  -0.86765207 -0.87164171  0.88990074 -0.30928359
  0.01671671  0.84474638  0.41213545]","[-0.64940478  0.83579073 -0.73678075  0.85572023 -0.85064665 -0.62932903
  0.10083026 -0.96108752 -0.56703657]","[-0.14482452  0.39542625  0.43115133 -0.26846903  0.25559505  0.65445618
  0.73403672 -0.83006905  0.92098399]","[-0.62195997  0.95493443 -0.68226058 -0.84694169  0.18666059  0.48549459
 -0.25785639  0.64341896  0.33159363]","[ 0.92070682 -0.42255617 -0.76103238  0.11709836 -0.30303669  0.01263618
 -0.61580628 -0.34693724 -0.48097502]","[ 0.38119129 -0.46753912  0.86608147 -0.80274221  0.19904926 -0.24875409
 -0.40640977  0.5917831  -0.21447205]"
"[ 0.54768893 -0.93492537  0.73267211  0.30025989  0.45380551  0.65500072
 -0.93976811 -0.8630826  -0.02062007]","[ 0.21947574  0.42118437  0.25609775 -0.04224145  0.91220311  0.67650059
 -0.51814234  0.19637958  0.44913625]","[ 0.72644292  0.22479432 -0.70520665  0.51645209 -0.87152752 -0.28383937
  0.05470095 -0.37861873  0.07775586]","[ 0.85425103  0.66443369 -0.31828436 -0.95768065 -0.39846934 -0.57343568
  0.44804265  0.28268241 -0.88063488]","[-0.40428038 -0.74049193 -0.65759438 -0.57747722  0.47669065 -0.2581348
 -0.1412059  -0.0989819  -0.53193158]","[ 0.26841184 -0.59655819  0.95504524  0.52488613 -0.63108882  0.11340072
  0.19110004  0.57729651 -0.37055568]"
"[-0.33539594  0.29393527  0.07063614  0.06116518  1.          0.19269854
 -0.15466342  0.77663228 -0.2681346 ]","[ 0.94868855 -0.81565079  0.74988245 -0.71707266 -0.21699498 -0.35318841
  0.82632492 -1.          0.89833122]","[ 0.99293721  0.33078019  0.46338064  0.47750291  0.0019736   0.77291271
  0.95949906 -0.0073389   0.1938585 ]","[-0.69391554  0.14566381  0.14628915 -0.03060319 -0.69300209 -0.94168774
 -1.          0.26964735 -0.32834872]","[ 0.23188677  1.          0.65179741 -0.42971067 -0.00739446  0.13755927
 -0.59287444 -0.94070755 -0.21641525]","[-0.51686627 -0.08681536 -0.44051845 -0.69214478 -0.41689861  0.15759886
  0.29122151 -0.85031691  0.2934991 ]"
"[ 0.78834521  0.74927051 -0.88663193  0.06653613 -0.40236657 -0.7346838
  0.70584542 -0.14690092 -0.97409691]","[-0.70264494 -0.36175145  0.11920446 -0.69453674 -0.97643952 -0.55795544
 -0.78986349 -0.78237034 -0.88479899]","[ 0.51447399  0.23387989 -0.68857916  0.25374278  0.35226293 -0.44408768
 -0.67953478  0.3333801  -0.98693224]","[ 0.56138417 -0.58452725 -0.70965884 -0.30795748 -1.          0.95665005
  0.17344307 -0.1915287  -0.47074768]","[ 1.          0.45781763  0.45398179  0.79989811 -0.86710484  0.62109197
  0.4873529  -0.27639309 -0.96841634]","[ 0.92578448 -0.77504574 -0.20365629  0.17256229 -0.33481252  0.33682087
 -0.63372919  0.43153139 -0.98727956]"
"[ 1.          0.909086    0.24868741 -0.58995228  0.46459181  0.0436771
 -0.58554602 -0.47376843  0.23426586]","[ 0.45527607  0.8957596   0.20084453  0.00270558  0.9726691  -0.38791622
  0.65810664 -0.35615329  0.83705642]","[-0.96143696 -0.36485989 -0.67894251 -0.08966584 -0.31014202  0.9916932
 -0.0401491  -0.29009524  0.68220018]","[-0.47880619  0.59798457  0.79496723  0.25957106  0.44091998  0.83047685
 -0.44854049  0.92248107 -0.49962085]","[-0.03413617 -0.59737664 -0.63287085  0.34653178  0.58666632  0.32304417
  0.07604715  0.59526117 -0.77904898]","[ 0.77816331 -0.86588594 -0.15730773 -0.84239953 -0.76190335 -0.17481708
 -0.00357683 -0.78266499 -0.26632795]"
"[ 0.33768908 -0.63462846  0.66947622 -0.69258407 -0.00715759 -1.
 -0.91139804 -0.26993423 -0.40396153]","[-0.73582604 -0.33920135  0.26900061 -0.17227017  0.1261932   0.68416842
 -0.28474719  0.49716438 -0.56274825]","[ 0.92158748 -0.04716021  1.         -0.82601487 -0.48307949  0.92301831
  0.85178705  0.21753258  0.58920934]","[ 0.79430873 -0.54184396 -0.18846977 -0.92961102  0.44171426 -0.0453349
 -0.0188808  -0.40364443 -0.05589073]","[ 0.11922887  0.3702737  -0.60205398 -0.63449027 -0.44080643  0.10975124
  0.68194277  0.10286866 -0.56807461]","[ 0.14098757 -0.71199893 -0.18493295  0.91811428 -0.36148349  0.18814295
 -0.16724782 -0.06107194  0.4491062 ]"
"[ 0.57480199  0.98645221  0.13343804  0.966819    0.67142254  0.07312967
 -0.02939965 -0.74844608 -0.82467515]","[ 0.26495565 -0.79409579  0.45220125 -0.63235425  0.80057361 -0.6365865
  0.00315091  0.35837826 -0.51229399]","[-0.62066371 -0.33806011  0.5892692  -0.43750625 -0.07860173  0.78283063
 -0.75080476  0.97427395 -0.36734871]","[-0.41031145  0.28725497 -0.49539882 -0.20630334  0.92867782 -0.34895299
  0.15782153  0.18541138 -0.82715182]","[-0.52847358 -0.00846637  0.22471856  0.4969186   0.03019331  0.38288519
  0.91906383 -0.16171659 -0.7864887 ]","[-0.44188894  0.26631926 -0.69625695  0.6944384  -0.28170444 -0.53719527
  0.46892555  0.81007618 -0.84719549]"
"[ 0.04925442  0.60350452 -0.20106127  0.24560669 -0.38575794  0.38282041
 -0.98619551  0.56181488 -0.40556598]","[-0.99070285 -0.0548797  -0.02673169 -0.44609433  0.76940573  0.106504
 -0.21982113  0.92185394  0.72733378]","[-0.40274578 -0.93033161  0.73890554  0.62528269  0.93641023  0.79780764
  0.11187287 -1.         -0.42169513]","[ 0.32391111  0.69008514 -0.97967736  0.04301697 -0.9955514  -0.75865531
  0.20024086 -0.54149372  0.01081234]","[ 0.72149027 -0.27673835 -0.18106821  0.22311414  0.08320269 -0.13809731
  0.33540151  0.35470216  0.96975225]","[-0.55221198 -0.70201772  0.10774807 -0.53670196 -0.03965321  0.8116354
  0.84150795 -0.82233351  0.93566544]"
"[-0.50898098 -0.48157863 -0.72581025 -0.39104133 -0.27037094 -0.28452662
 -0.94383891 -0.72672509 -0.39923876]","[-0.91664722 -0.05880409 -0.56143088 -0.717295    0.82099889 -0.1603956
 -0.19827547  0.88340625  0.9019933 ]","[ 0.6488737   0.14716448  0.90375992  0.97452437 -0.59162921  0.41795844
 -0.81831722 -0.21828741  0.16842727]","[-0.55812649  0.76082526  0.78967375 -0.51927498  0.31295289  0.82968143
  0.95595723  0.38133365  0.59839561]","[ 0.68768696 -0.20837823  0.29915033 -0.3309242  -0.8210831   0.70884995
  0.86898254 -0.46858942  0.05591401]","[-0.27467028 -0.69659913  0.48621019 -0.79903791 -0.5448309   0.44344845
 -0.51264561 -0.59905287 -0.46750602]"
"[ 0.7863238   0.94994642 -0.08980957 -0.71800251  0.0029796   0.06781771
 -0.96137728  0.29421513 -0.45861332]","[ 0.02727999  0.67978535 -0.603844   -0.37170437  1.          0.57153606
 -0.97786408  0.72689255 -0.57649607]","[ 0.722507   -0.92493036 -0.90281369 -0.19292935 -0.13795497  0.85948975
 -0.2051722  -0.92908419  0.27344058]","[-0.36099988 -0.24138369 -0.43099256 -0.06040138 -0.81721867  0.01001819
  0.17526656  0.43674478 -0.18060947]","[-0.31389169  0.80737995  0.95466701 -0.02551373 -0.75499687  0.3029628
  0.71555272  0.11939078 -0.6241484 ]","[-0.98481773  0.92013039 -0.12064638 -0.18324677  0.96076246  0.36531113
 -0.77562568 -0.56406689  0.78941126]"
