"[ 0.61905995  0.53331227 -0.90436725 -0.15211037 -0.08810424 -0.52952883
  0.73851925 -0.00368624  0.0707162 ]","[-1.         -0.37545643 -0.53950766 -0.88164543  0.2792567  -0.34710067
  0.26403097 -0.88309077 -0.71645121]","[-0.45091949  0.19409383  0.35168249 -0.11456607 -0.10841817  0.64609927
 -0.96835782 -0.31781995  0.63741411]","[ 0.20643882 -0.32554573  0.81104958  0.54524545 -0.47020911  0.31047234
  0.35083605 -0.19762417 -0.26608784]","[-0.42480576  0.23431157  0.23129833  0.66372623  0.63620191 -0.86013679
  0.28033645 -0.75398969  0.18562398]","[ 0.36026386 -0.53834162 -0.08628271 -0.61935027 -0.89532225 -0.24304715
 -0.27411146  0.99096098 -0.1072953 ]"
"[-0.69069396  0.66618409 -0.42743281  0.01621844  0.79568173  0.72005151
  0.34128813 -0.42454571  0.89632926]","[ 0.07746284 -0.51243947  0.63519937  0.25168347 -0.50824942 -0.04088488
 -0.37715327 -0.69741006  0.18296951]","[ 0.9180651  -0.06111851 -0.67505607  0.1364772  -0.12660366 -0.7046208
 -0.84057055  0.85798908 -0.25359903]","[-0.44468397 -0.8633047   0.22877828 -0.84521874 -0.38311688 -0.32719473
 -0.08101511  0.95773716  0.99263701]","[ 0.02473895  0.23681839  0.02182141 -0.79539374  0.17494282  0.00197697
  0.93911312  0.97869906  0.32975811]","[ 0.48653368 -0.54946626 -0.04506533 -0.64307092 -0.90387048 -0.05665312
 -0.30409242  0.05028419  0.7542687 ]"
"[ 0.90477903  0.28746738 -0.98510489 -0.97421234 -0.7888625  -0.67043322
  0.72807054  0.55778449  0.46828205]","[ 0.16990273 -0.61095098 -0.28973169  0.24544428 -0.88640524 -0.11952015
 -0.05960499 -0.56486338 -0.22312805]","[ 1.         -0.84569454  1.         -0.41416917  1.         -0.14159057
  0.00220102 -0.53070065 -0.67257661]","[-0.0221679   0.59380933  0.40924497  0.72995425  0.47481158 -0.65327173
 -0.65120413 -1.          0.3764927 ]","[ 0.44993074  0.36277983  0.20373464  0.95365284  0.40153848 -1.
 -0.03623764  0.81247208 -0.66633921]","[-0.34495371  0.41648975  0.73577109  0.01037612 -0.64189314 -0.1285981
  0.41783598  0.91163589 -0.11053232]"
"[-0.0112725   0.56204214  0.67540529 -0.76824409 -0.89851499 -0.06462017
  0.38341663 -0.81495781 -0.81000967]","[-0.67500278 -0.57422165 -0.49497554  0.46376861 -0.05149837 -0.81443593
 -0.18854754  0.07476228  0.88316751]","[-0.04447914 -0.85042466  1.         -0.71603885 -0.79088584  0.27850875
 -0.85254934  0.49156855 -0.05585385]","[-0.77168543  0.07308757 -0.99285007  0.74238556 -0.21128679 -0.08308148
  0.54259607 -0.63222488  0.816875  ]","[ 0.37383771  0.83270223  0.0206666   0.73468793  0.13393452  0.26657024
 -0.46985596 -0.7685318   0.90395739]","[ 0.5241493   0.98871432  0.78483069 -0.33070062  0.12291259 -0.02032925
 -0.41400144  0.67635617  0.89740927]"
"[ 0.87708777 -0.22584284  1.         -0.7875416   0.50041142  0.1416318
 -0.34199405 -0.19427088 -0.69597784]","[-1.          0.08292075 -0.26544733  0.37803395 -0.26361755 -0.38545826
 -0.1602867   0.89384799  0.82717762]","[ 0.26610981  0.84167961 -0.76324245 -0.20610313 -0.09947268  0.29578106
  1.          0.65998376  0.640198  ]","[-0.05342294 -0.10910444  0.63643695  0.96393781 -0.86739875 -0.6620856
  0.01010562  0.33008878 -0.57023177]","[-0.74893843 -0.19359355 -0.96043517 -0.37069297 -0.35380826  0.77443802
  0.29268893 -0.37751829  0.64454353]","[ 0.12391447 -0.3502071  -0.58796871 -0.52040189 -0.60846022 -0.94795651
 -0.31104445  0.39506366  0.81132607]"
"[-4.82604173e-04 -8.10232625e-01 -8.93174690e-01  3.38223927e-03
  8.88626332e-01 -7.66051094e-01 -9.03935695e-01  8.24938186e-01
  8.78390447e-01]","[ 0.97813972  0.50824535  0.86813817 -0.01824913 -0.8180329   0.52137997
 -0.70628649 -0.09793563 -0.90003171]","[ 0.45582195  0.05125657  0.13650871  0.44944086  0.82090616 -0.69135704
 -0.14337919 -0.4933866  -0.86648067]","[-0.52165119  0.86208113 -0.40784472 -0.57956058 -0.68075961  0.78513704
  0.52439815  0.24003765  0.9825378 ]","[-0.93588989  0.9048909  -0.74896958 -0.18933164 -0.74048251 -0.462596
 -0.54195033  0.24851153  0.53551193]","[-0.21863686  0.98533068  0.7653201   0.67786986 -0.26882287 -0.97329394
 -0.4691198  -0.61327377  0.42356613]"
"[ 0.05998932  0.3192654   0.47230815 -0.64837071  0.33296763 -0.54166175
  0.46630721  0.95016567  0.21001621]","[ 0.30741142 -0.55970927  0.25234615  0.30763909 -0.90774341 -1.
 -1.         -0.76351202  0.84855296]","[ 0.85328355  0.78232716 -0.88647444  0.02639993 -0.05098317  1.
 -0.02575389 -0.48372973 -0.77066183]","[-1.         -0.74232339 -0.56633625 -0.14808506  0.2670679   0.07349339
 -0.23736226 -0.00533995 -0.62013921]","[ 0.01561905 -0.21219278 -0.04793278 -0.16621032 -0.64419625  0.031916
 -0.56028841  0.78742811 -0.60590756]","[ 0.98780506 -0.17763256  0.06743129  0.77639778 -0.24503747  0.46271772
 -0.43997248 -0.68690055 -0.26367863]"
"[ 0.35272988 -0.03721288  0.64418246 -0.04404958 -0.97759349 -0.9339084
  0.26076363 -0.05464153 -0.89734077]","[ 0.72763206  0.57066721 -0.74849352 -1.          0.45420288  0.86918214
  0.11695393  0.9068637  -0.35576182]","[ 0.30384265 -0.35582586 -0.66169824  0.45894379 -0.25621844 -0.38172299
 -0.28862792 -0.21912037  0.42015881]","[-1.         -0.74512814  0.5997813   0.64645769 -0.59425655  0.92426804
 -0.93886853  0.64221835  0.3882264 ]","[ 0.54644292  0.60223409 -0.48049365 -0.71262102 -0.57503681  0.60105945
 -0.36974098 -0.7359485   0.14478966]","[ 0.88142259  0.66976733  0.4430474   0.23239948  0.31473731 -0.5149539
  0.73261996 -0.93091546 -0.99803944]"
"[ 0.05452125  1.          0.78393288 -0.24752979 -0.66010655 -0.5413398
 -0.52129258  0.89689399 -0.46686359]","[-1.00000000e+00 -1.38363174e-02 -4.45136846e-01  2.03798940e-02
  5.12700829e-02  6.31713180e-01  9.46024800e-04  1.83308904e-01
 -2.10763922e-01]","[ 0.03427011  0.24232109 -0.95820222 -0.69190708 -0.70165922  0.11261087
  0.50477458  0.50521367  0.61129148]","[ 0.10752283 -1.          1.         -0.11748632 -0.71381168 -0.08511298
  0.02819377 -0.05214707 -0.46718707]","[ 0.26694946  0.17557441 -0.15177448  1.         -0.60418933 -0.84517979
 -0.506498   -0.44404903 -0.61533191]","[-0.58547932 -0.13036264 -0.76190856  0.4550412   0.67772996  0.1590546
 -0.85054416  0.79428812 -0.1822687 ]"
"[ 0.12810068  0.27762709  0.15401203  0.32320137 -0.11342046 -0.12039184
  0.67511877  0.39371205 -0.04036214]","[-0.80978918  0.61512245  0.55092368 -0.35405453  0.65083951  0.18458961
 -0.7127461   0.06715284 -0.18728128]","[-0.42688043 -0.64812477 -0.57822095  0.74917934  0.13038147 -0.51644838
  0.76382996  1.         -0.91775557]","[ 0.5092122  -0.41149454 -0.64184259 -0.23598395 -0.14447913 -0.67198576
 -0.70532761  0.47090001 -0.18933928]","[ 0.62396945 -0.92166625  0.69588552 -0.13720303  0.88485603 -0.83211204
 -0.36502827 -0.57455394 -0.03318485]","[-0.30630133 -0.36043341  0.85546834 -0.17117094 -0.90782724  0.46887117
  0.44257713  0.81077374  0.16788765]"
