"[ 0.57740148 -0.32315672 -0.69763273 -1.         -0.91422078 -0.42440997
 -0.58175063  0.39296869  0.52902994]","[ 0.12142154  0.35753425  0.34420176 -0.48874435 -0.54693867 -0.84133357
 -0.50827397  0.44680617  0.55634249]","[-0.97418945  0.44925997 -0.27756077 -0.32987629 -0.40159183  0.03126509
  0.59620636  0.30513842 -0.50223912]","[ 0.03296312 -0.77700281  0.5205393   0.0027476  -1.         -0.76629501
 -0.10230084  0.27345402 -0.18973348]","[-0.24174603 -0.46222438  0.96251033  0.64585948  0.52532965  0.88580967
 -0.74394722  0.5689152  -0.46350416]","[ 0.32996366 -0.08500289 -0.22465674  0.20843832  0.94801653  0.59846765
 -0.56207227  0.46479618 -0.76031113]"
"[ 0.62798401  0.77806738 -0.96608745  0.29228811 -0.39839727 -0.30647388
  0.60445514 -0.43347166  0.09721922]","[-0.0270614  -0.22521524  0.44225382  0.63656525 -0.0889995   0.14846632
 -0.43220808 -0.26175382  0.92282532]","[-0.50295904 -0.87394525 -0.34130782 -0.69595009  0.85284189 -0.08184148
  0.25800911  0.45551605  0.60499013]","[-0.61492571 -0.12004958 -0.15300583  0.81418596 -0.06903511  1.
 -0.53185742  0.91717547 -0.69745096]","[-0.79535082  1.          0.37109894 -0.76627845  0.80045453  0.27917264
  0.79626563  0.05866152 -0.37923965]","[-0.06351882 -0.68891788 -0.92671343 -0.27613585  0.41917911 -0.61982667
  0.24959732  0.759489   -0.98767579]"
"[-0.97098068 -0.25762968 -0.9243253  -0.39410736  0.15006757 -0.45849813
 -0.1787736   0.19489969  0.71314911]","[ 0.91630209  1.          0.06087427  0.00422218 -0.18391948 -0.17707111
 -0.35236695  0.74805056 -0.80628118]","[ 0.2589381   0.55710374 -0.47412052  0.22846484 -0.38995982 -0.03986162
 -0.00218433 -0.03449277 -0.31029879]","[-0.71406305  0.54726542  0.25514295  0.03645859  1.          0.61476913
  0.29781324  1.         -0.66879127]","[ 0.19335265 -0.1263058   0.63060838 -0.56001173  0.04048587 -0.35537613
  0.05778019 -0.72492713 -0.88963663]","[-0.98441078  0.49042825 -0.25310525  0.62474902  0.59335189 -0.34554425
 -0.10506824  0.70997773  0.50024927]"
"[ 0.24722272  0.32168217 -0.53687248  0.05339438  0.64249708  0.25803109
 -0.70446158 -0.55799906  0.46506672]","[-0.18174555 -1.          0.95068493  0.13830884  0.54074649  0.05544123
  0.88006352 -0.54478517 -0.59904072]","[ 0.32192198  0.49110012  0.94179713 -0.78248323 -0.24484258  0.35685973
 -0.65767594  0.16497599 -0.45814192]","[-0.58088403 -0.15367141 -1.          0.00906908 -0.57879354 -0.88598827
  0.46750128  0.65693271  0.37080236]","[ 0.34647854  0.09132964  0.02524788 -0.84134487  0.65911213  0.45769025
 -1.          0.53211696  0.23247965]","[ 0.67115171 -0.37962972 -0.09229797  0.8675119   0.0959634  -0.26053012
 -0.44617696 -0.31490542  0.94873228]"
"[ 0.24620875  0.995692    0.39196503 -0.86832072 -0.95744718 -0.07412239
 -0.03875733  0.80044428  0.36086327]","[-0.87332768 -0.99229016  0.99803127 -0.57554303 -0.57348316 -0.54312803
 -0.86940408  0.44471265  0.46325915]","[ 0.10424835  0.4742949  -0.14567279 -1.         -0.04663383  0.38497923
  0.59258764  0.35019211  0.89164228]","[ 0.34521455  0.57230116 -0.94604518  0.71984669  0.77365574 -0.96937883
 -0.20684316  0.20936707  0.21660503]","[ 0.30566804  0.62147217 -0.16737417  0.10062712  0.64452597  0.21868425
 -0.6268121  -0.06535679 -0.17396558]","[-0.02517058  0.88792703 -0.77848249  0.4020277  -0.27266844 -0.65424459
  0.62059374 -0.11205709  0.22569696]"
"[-0.80022666  0.68529766  0.03846241 -0.81447379  0.343954   -0.22816151
 -0.707546    0.09358035  0.228108  ]","[ 0.06341128  0.46226651 -0.55128796 -0.86145034  0.30812918  0.75341531
  0.56395746  0.41474821  0.75747994]","[-0.35229316 -0.14438121  0.71829183  0.64311033 -0.56509358 -0.32402373
  0.23801942  0.88094713 -0.75509286]","[ 0.69472738  0.77272953  0.43639726 -0.04187822  0.96807301 -0.64082415
 -0.97260865 -0.07042287 -0.33620808]","[-0.53068715  0.57080791  0.12518994 -0.09801652  0.44556194  0.4268569
  0.87342286  0.13310529  0.07859167]","[ 0.62214815 -0.12852984  0.85118118  0.49467358 -0.66065251  0.16271446
  0.83355035  0.96415747  0.2855404 ]"
"[ 0.03311151 -0.93748441 -0.04308794 -0.61879564  0.34627194 -0.83910921
  0.22323642  0.17407214  0.90591655]","[ 0.84726419  1.          0.77900162 -0.98415197 -1.          0.59939431
 -0.68906316  0.14726439  0.76865002]","[-0.1758316  -0.5702517  -0.01994845  0.19674216  0.30405062 -0.36998594
 -0.04807089  0.51214425  0.39495495]","[-0.0364328  -0.66087967 -0.6941757   0.09052056  0.41047397  0.94283263
  0.16500821 -0.55415979 -0.71475486]","[ 0.85309051  0.69206028 -0.46704672 -0.27571196  0.68614319 -0.44918268
  0.3776761   0.32288324 -0.64717414]","[ 0.39820764  0.18834709 -0.0178013   0.65193917  0.3811983   0.50049101
  0.79370098  0.75339196  0.98540341]"
"[ 0.94575943 -0.73393212 -0.67530911  0.32772158  0.71949606 -0.82021365
 -0.02891426  0.31892509 -0.16206403]","[-0.55390415  0.14989718  0.92104569 -0.4993906  -0.17687595  0.86930514
  0.62440138  0.55132454  0.13345203]","[-7.81013486e-01  1.04697097e-01 -1.78256469e-05  3.64248810e-01
 -5.21856951e-01  7.56382473e-01 -1.40540704e-01  3.63324448e-01
 -9.24375686e-01]","[ 0.87361471 -0.31009403  0.756189   -0.28614723 -1.         -0.85308384
 -0.56877529 -0.98259265 -0.12597429]","[-0.96262258 -0.62942861  0.22602417 -0.24000912  0.06848914  0.21285528
  0.41237438 -0.06825549  0.74084817]","[ 0.77021916 -0.09930249  0.05728694  0.55227604 -0.87723157 -0.02962042
 -0.93674599 -0.12792909  0.73161126]"
"[ 0.35773447 -0.33491995 -0.23209316  0.88077534 -0.93985897  0.52889871
  0.23162354 -0.11408256 -0.41687788]","[-0.6605124   1.          0.78906    -0.03967837  0.42463219  0.63457912
  0.65510815 -0.67776435  0.54355823]","[-0.14267911  0.25949565  0.664478   -0.32992886  0.67585426 -0.44629938
 -0.45540039 -1.         -0.93269816]","[ 0.02884239  0.36537558 -0.95755514 -0.98818849  0.00271411 -0.49931053
  0.85667094  0.82994861 -0.59815691]","[-0.45243759  0.81454903 -0.83775586 -0.11161588  0.94853391 -0.48052472
  0.01682199  0.26993615  0.15125221]","[ 0.74517314  0.32303209 -0.31875818  0.94947242  0.1233252   0.84594796
 -0.1351629  -0.71716187  0.71152736]"
"[ 0.07810924 -0.63626795  0.81469641 -0.26952488 -0.25909292 -0.978756
 -0.22666621 -0.10077589  0.8772545 ]","[ 0.38302315  0.30019048  1.         -0.33955742 -0.646635    0.52135639
  0.07913597  0.00102764  0.48467659]","[-0.09858974 -0.09926789 -0.32590881 -0.42899284  0.27334466 -0.87422684
  0.24667373 -0.52862127 -0.77768497]","[ 0.35385094  0.06977311 -0.96290599 -0.79859655  0.32390898  0.3653556
  0.89247854  0.90737464 -0.93540867]","[-0.01352933  0.71496127 -0.63273508 -0.73478185  0.10861559  0.52288031
 -0.31439012  0.57140981  0.99507064]","[-0.66962957  0.23010332  0.22938567  0.49929677 -0.29558949 -0.41174678
  0.33602587  0.2763143  -0.38025983]"
