"[ 0.23859098  0.68414523  0.84384065  0.65807427 -0.40847524  0.52004709
 -0.39525548 -0.74630726  0.9138854 ]","[-0.82775483 -0.03860995  0.87050498  1.         -0.33570646 -0.90522148
 -0.00524796 -0.86725198 -0.76300418]","[-1.         -0.84457366 -0.57321117  0.71983373 -0.94673444  0.06472845
 -1.          0.96506244  0.96387813]","[ 0.7310448  -0.1360215  -0.19894716 -0.4694224  -0.0085929   0.41202508
  0.13006811 -0.65456554 -0.2513084 ]","[-0.04788678  0.48894855 -0.55255999 -0.93217864  0.69894915  0.3134014
  0.13266986 -0.12393852  0.00440696]","[-0.60381027 -0.69808642  0.87115259 -0.76106755 -0.41925768 -0.74312336
 -0.37168197 -0.02490918  0.97850068]"
"[-0.33356238  0.42375824 -0.15427194 -0.84188821 -0.34182124 -0.7554715
  0.02125912 -0.80599532  0.18372945]","[-0.3768994  -0.83706593 -0.51896772 -0.06447918 -0.26141276  0.37507898
 -0.88062616  0.69000697  0.71200487]","[-0.75014487 -0.0437775  -0.37591582  0.11202717  0.85689716  0.79731043
  0.04433197 -0.93213947 -0.92826183]","[ 0.65178981  0.06755939  0.92672208  0.67779941  0.09924402 -0.85724694
  0.41794991  0.63014241  0.76185695]","[ 0.62122678  0.06472622 -0.99685662  0.91189423 -0.58701766  0.52345708
  0.95694024  0.3955698  -0.37087197]","[ 0.38450307 -0.76754779 -0.27898401 -0.32790023 -0.49952668 -0.54757288
 -0.45565983 -0.42282228 -0.30264321]"
"[ 1.          0.43577536 -0.04117449 -0.88328746 -0.47821264 -0.79904566
 -0.76426929 -0.88257498  0.60551555]","[-0.14783003  0.45238631  0.96296684 -0.6267213   0.34376605  0.08017747
 -0.85877105  0.02854508  0.1511812 ]","[-0.95142699 -0.58282665  0.83834351 -0.94698699  0.96907311 -0.60204827
 -0.70699717  0.06904024 -0.68466477]","[-0.7555048   0.56966815 -0.86405104 -0.76485253 -0.28723835 -0.33571871
  0.73026214  0.68561743 -0.59541792]","[-0.25764758  0.84723104 -0.67957194 -0.17064714  0.6211692  -0.49328126
 -0.70386863  0.52754572  0.33135437]","[ 0.73847039  0.18258855  0.6461502   0.42893269 -0.41763459 -0.34667259
 -0.90969373  0.09517061 -0.88062943]"
"[-0.52660411 -0.63827943 -1.          0.17509294 -0.06929813 -0.22235504
  0.47376572 -0.55375491 -0.45950428]","[ 0.30377384  0.83467091  0.04350713  0.56180493 -0.54880242 -1.
 -0.07763926  0.35483003  0.32202682]","[ 0.84364295 -0.00487879 -0.20833482 -1.         -0.21191432  0.54263511
 -1.          0.08946757 -0.32967768]","[ 0.10752606  0.87788311  0.70118342 -1.          0.94727282  0.12812882
 -0.28502623  0.70294291 -0.17549235]","[-0.11149733 -0.38178616  0.55688429 -0.00605958  1.          0.10911236
  0.57083823  1.          0.11205282]","[ 0.32107749 -0.27504195  0.58822184  0.91449815  0.84746373 -0.86200152
  0.13791097 -0.34159001  0.32428943]"
"[ 0.07684757  0.93525054  0.01721974 -0.15856842 -0.60193942  0.02034253
  0.49959695  0.22916221  0.68219822]","[-0.83411015 -0.75655666  0.95267225 -0.93511482  0.52048437 -0.80499443
  0.39821354 -0.13498553  0.86198621]","[-0.78929454  0.03013303 -0.52005052  0.41915984  1.         -0.5670395
 -0.14108742  0.67409171  0.7311439 ]","[-0.09760016  1.          0.41406193  0.8922099  -0.46777096  0.45345944
 -0.97842342  0.09485036  0.2656112 ]","[-6.49445685e-01 -9.12726205e-01  8.37879828e-01  9.11546135e-01
 -3.26505835e-04  8.09209925e-01  1.00000000e+00 -1.66542984e-01
  8.03548219e-01]","[ 0.81908393 -0.00695908 -0.47242391  0.32660946  0.38062409  0.78852179
 -0.85709772  0.01076365 -0.48464887]"
"[-0.97119297  0.86775731 -0.49354482  0.2334228  -0.82860504  0.98262502
  0.23436835  0.68752128 -0.00460081]","[ 0.04787462  0.60586611  0.71382133  0.19942089 -0.73233077 -0.95588548
 -0.0370389   0.48858901  0.61872843]","[-0.43107879 -0.17944584 -0.39516441 -0.53937342  0.86316725 -0.64588661
  0.73728186 -1.          0.49408358]","[-0.99840077  0.66419319  0.40812905 -0.52512587  0.40844854 -0.95597518
  0.20219217 -0.65062665 -0.3242951 ]","[ 0.14539474  0.1935321   0.58811826 -0.5687499   0.59171052 -0.08222362
  0.08879716 -0.78912886  0.90890238]","[ 0.22243735 -0.80686813 -0.12340972  0.21857361 -0.59902394  0.09207372
 -0.36264735  0.43288963  0.90398213]"
"[-0.85815782 -0.07988588  0.67827327  0.8733695  -0.39211062  0.694782
  0.81004334 -0.76925816 -0.51368284]","[-0.66467798 -0.54043947  0.10449144 -0.65815235  0.88126398  0.05356997
 -0.10071747 -0.22930917 -0.27340805]","[ 0.9483257   0.88417583  0.01409146 -0.29138719 -0.08923192 -1.
 -0.85982987  0.75896626  0.57619268]","[ 0.42896495  0.65229411 -0.87032174  0.08820045 -0.29502474  0.591762
  0.09768863 -0.14299417  0.39993454]","[-0.68750719 -0.20916137 -0.40616946  0.13584508  0.69429308  0.12030798
 -0.32562893 -0.05913415 -0.42540328]","[ 0.34238957  0.65745519  0.34282576 -0.39585783  0.42439196  0.17284369
 -0.66094842  0.12349137 -0.96618483]"
"[-1.         -0.58764933  0.27177456 -0.21108869  0.18885726 -0.59438477
 -0.29472231 -0.31663592  0.20348276]","[ 0.32340735 -0.00174372  0.71965922  0.29076886  0.38726153 -1.
 -0.48451551 -0.99751189 -0.15378329]","[-0.68347045  0.50340254  0.2324873  -1.          1.         -0.27195686
  0.01491464 -0.10869541 -0.62141209]","[-0.97130946 -0.77521187 -0.53958017 -0.20874699 -0.38662594 -0.34171048
  0.4417801   0.76570557 -0.00944662]","[ 0.76434663  0.57419933 -0.48419044 -0.72987765 -0.67968994  1.
  0.05684448  0.42768157  0.91812152]","[-0.54757417  0.58435602  0.5350804  -0.22154262 -0.03063519 -0.21166112
  0.75412729  0.82166398  0.87563237]"
"[-1.         -0.83983671 -1.          0.23841688  0.24242527  0.7077005
  0.06156279  0.97280695 -0.09156767]","[ 0.03913115 -0.78171135 -0.59787905  0.51776565 -1.         -1.
 -0.70945317  0.1897348  -0.95861852]","[-0.17152163  0.67526738 -0.57376053 -0.97637779  0.30915295 -0.91703123
  0.11434564  0.44422869  0.18571635]","[ 0.64020466 -0.54536613  0.11950272 -0.95914488  0.78025879 -0.01962491
 -0.22277161  0.76932583 -0.72845789]","[-0.16728693 -1.          0.04344053 -0.31576421 -0.69232656 -0.01230537
 -0.5050297   0.65305842  0.45325028]","[ 0.09470886  0.15835648 -0.79086583  0.95291823 -0.99442083 -0.56210597
  0.1831635  -0.14198792 -0.92546927]"
"[-0.54177512 -0.27530612 -0.27406029  0.0377421  -0.88910558 -0.443043
  0.89992937 -0.26939485  0.55883444]","[-0.28657943 -0.33412566  0.25363031  0.69866088  0.47687102 -0.61507385
 -0.04123669  0.19919541  0.9541189 ]","[ 0.04802359  0.39471705  1.          0.30523879 -0.99411375  0.81839439
 -0.99313554 -1.         -0.39961538]","[ 0.70051174  0.91290403 -0.60454501  0.7809736   0.96656391 -0.0968755
 -0.37030534  0.81031266 -0.6269201 ]","[ 0.37615406 -0.52367664  0.33339315  0.60115972  0.88499101 -0.61265886
  0.22358097 -0.91800391 -0.5578189 ]","[ 0.40803082 -0.18452022  0.91382645  0.97042243 -0.52887434 -0.9416247
 -0.56458837  0.25967253  0.37143602]"
